Democrats,Republicans
RepDarrenSoto,RepJacobs
SenJackyRosen,RepJamesComer
RepAlLawsonJr,RepTiffany
RepEspaillat,RepMikeGarcia
RepLBR,RepDanBishop
RepBarragan,RepGregMurphy
RepTomSuozzi,RepFredKeller
RepRoKhanna,RepRossSpano
RepKihuen,RepHagedorn
RepMcEachin,RepGregSteube
RepCarbajal,RepChipRoy
RepCharlieCrist,RepMichaelWaltz
RepLouCorrea,RepGregPence
RepJayapal,RepJohnJoyce
RepJoshG,RepCarolMiller
CongressmanRaja,RepJohnRose
RepOHalleran,RepMichaelGuest
RepRaskin,RepDanCrenshaw
RepValDemings,RepRonWright
RepJimmyPanetta,RepMeuser
RepStephMurphy,RepArmstrongND
DonaldNorcross,RepRiggleman
RepTedLieu,RepMarkGreen
RepPeteAguilar,Rep_Watkins
RepMarkTakai,RepTimmons
RepKathleenRice,RepRussFulcher
RepDebDingell,RepPeteStauber
RepBonnie,RepBryanSteil
RepDeSaulnier,RepVanTaylor
RepRubenGallego,RepDustyJohnson
RepBradAshford,RepBenCline
RepDonBeyer,repkevinhern
RepLawrence,RepAGonzalez
StaceyPlaskett,RepCloudTX
RepHastingsFL,RepBalderson
RepKClark,RepTimBurchett
USRepKCastor,RepDLesko
RepBeatty,RepJohnCurtis
PeterWelch,RepRalphNorman
AnthonyBrownMD4,RepRonEstes
RepRobinKelly,RepClayHiggins
RepTimWalz,RepRutherfordFL
RepJuanVargas,RepMikeJohnson
RepBrownley,RepDonBacon
RepCardenas,RepMattGaetz
repmarkpocan,RepTedBudd
RepDonaldPayne,RepLizCheney
RepScottPeters,RepAndyBiggsAZ
RepBetoORourke,RepBrianFitz
RepCheri,RepArrington
RepRaulRuizMD,RepJimBanks
RepFilemonVela,RepRooney
SenatorSinema,RepDavidKustoff
RepBillFoster,RepGallagher
RepLoisFrankel,DrNealDunnFL2
RepVeasey,RepJackBergman
RepSeanMaloney,RepBrianMast
RepSchneider,RepTrey
RepHuffman,RepPaulMitchell
RepDennyHeck,RepDrewFerguson
TulsiPress,RepMarshall
RepLujanGrisham,WarrenDavidson
Elizabeth_Esty,GReschenthaler
RepDerekKilmer,RepLaHood
RepAnnieKuster,RepTrentKelly
RepJoeKennedy,RepGrothman
RepLowenthal,CongressmanHice
USRepRickNolan,RepBuddyCarter
RepGraceMeng,RepJohnKatko
RepDanKildee,RepMarkWalker
RepMarkTakano,RepBost
RepLipinski,RepAlexMooney
RepDelBene,HurdOnTheHill
RepBera,RepAbraham
RepSwalwell,RepStefanik
RepJohnDelaney,RepFrenchHill
RepDannyDavis,RepGarretGraves
RepCummings,RepNewhouse
RepCartwright,RepBrianBabin
LacyClayMO1,RepTomEmmer
RepMarcyKaptur,RepLoudermilk
RepBonamici,RepKenBuck
BettyMcCollum04,USRepGaryPalmer
daveloebsack,RepWesterman
RepRoybalAllard,DNI_Ratcliffe
RepJeffries,RepLeeZeldin
RepJaredPolis,RepMoolenaar
RepCicilline,RepRobWoodall
RepRichardNeal,RepByrne
RepSusanDavis,RepGuthrie
GKButterfield,RepBlaine
RepRickLarsen,RepJasonSmith
RepMcNerney,USRepLong
RepJohnYarmuth,RepChrisSmith
RepTerriSewell,SteveScalise
RepSarbanes,RepAndyBarr
SupJaniceHahn,RepRWilliams
RepLindaSanchez,RepPaulCook
RepStephenLynch,SusanWBrooks
Call_Me_Dutch,RepChrisStewart
SenCortezMasto,SenatorLoeffler
SenKamalaHarris,SenHawleyPress
SenBrianSchatz,SenatorBraun
MartinHeinrich,SenatorRomney
SenatorBaldwin,SenBillCassidy
SenAngusKing,SenHydeSmith
SenatorHeitkamp,SenJohnKennedy
SenDuckworth,senjudiciary
SenWarren,SenateAgGOP
SenatorHassan,MarthaMcSally
SenatorTester,SenThomTillis
SenJackReed,SenSasse
SenFeinstein,SenatorRounds
SenCoonsOffice,SmallBizCmte
Maggie_Hassan,SenDanSullivan
PattyMurray,sendavidperdue
SenBlumenthal,SenJoniErnst
RonWyden,HawleyMO
SenatorCarper,senatemajldr
SenatorDurbin,BankingGOP
SenatorLeahy,SenatorRisch
SenWhitehouse,SenTedCruz
SenGaryPeters,SenatorFischer
Sen_JoeManchin,EPWGOP
SenatorBennet,SenKevinCramer
SenDonnelly,SenTomCotton
SenBobCasey,SenFinance
ChrisMurphyCT,MikeCrapo
SenatorCantwell,senategopfloor
SenatorShaheen,LindseyGrahamSC
SenatorCardin,SenateCommerce
maziehirono,SenJohnHoeven
SenStabenow,McConnellPress
SenateDems,SenJohnThune
SenGillibrand,GrassleyPress
SenatorTomUdall,GOPHELP
SenSherrodBrown,SenatorEnzi
amyklobuchar,MarshaBlackburn
KamalaHarris,SASCMajority
SenSanders,SenatorWicker
SenJeffMerkley,PortmanPress
SenMarkey,SenCoryGardner
SenBillNelson,SenToddYoung
SenatorMenendez,SenRonJohnson
ChrisVanHollen,SenRubioPress
SenSchumer,SenatorLankford
clairecmc,SenToomey
CoryBooker,SenatorTimScott
MarkWarner,RandPaul
alfranken,SenJohnBarrasso
,SenCapito
,SenRickScott
,SenateRPC
,JECRepublicans
,SenMikeLee
,EnergyGOP
,SenatorIsakson
,SenAlexander
,SenPatRoberts
,RoyBlunt
,SenatorBurr
,SenShelby
,InhofePress
,SenatorCollins
,senrobportman
,JerryMoran
,lisamurkowski
,SenateGOP
,JohnCornyn
,SteveDaines
,ChuckGrassley
,JimInhofe
,JohnBoozman
